name,team,battingStyle,bowlingStyle,playingRole,description
Mohammad Nadeem,Oman,Right hand Bat,Right arm Medium fast,Allrounder,"Debuting as a 31-year-old in 2014 for his adopted country of Oman, Mohammad Nadeem took a while to get going, making his first half-century in international cricket shortly before his 36th birthday, against Hong Kong at the 2018 Asia Cup Qualifier in Malaysia. "
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,
Dilpreet Bajwa,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Nikhil Dutta,Canada,Right hand Bat,Right arm Offbreak,Bowler,
Shayan Jahangir,U.S.A.,Right hand Bat,Right arm Medium fast,Batter,
Nangeyalia Kharote,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"A left-arm orthodox spinner, Nangeyalia Kharote made his professional debut in the Shpageeza Cricket League as a 16-year-old in 2020 and made an immediate impact, finishing the season as the joint-highest wicket-taker. He was the player of the match in the final and was named the Best Emerging Player of the tournament."
Kabua Morea,P.N.G.,Right hand Bat,Left arm Medium,Bowler,
Rafiullah,Oman,Right hand Bat,Right arm Medium,Bowler,
Ronak Patel,Uganda,Right hand Bat,Slow Left arm Orthodox,Batter,
Tangeni Lungameni,Namibia,Right hand Bat,Left arm Medium,Bowler,
JP Kotze,Namibia,Left hand Bat,Bat,Batter,
Brad Currie,Scotland,Right hand Bat,Left arm Medium,Bowler,"Left-arm seamer Brad Currie made a dream start to his trial with Sussex in mid-2022, taking a six-wicket haul on first-class debut at Lord's. Former England opener Mark Stoneman was his maiden victim during a spell of 4 for 16, as Currie proved he was ready for the step up at the age of 23, having spent several years playing National Counties cricket for Dorset. He made his List A debut the following month, taking 12 wickets in eight matches as Sussex reached the semi-finals of the Royal London Cup, and was subsequently awarded a full-time contract with the club."
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,"Indian-origin legspinner Ish Sodhi moved to Auckland with his parents as a child, left school early and trained with Dipak Patel and Matt Horne to make it into the New Zealand ranks as a 20-year-old. A decade into his career, he was New Zealand's most prolific T20I spinner, and not too far behind in ODIs."
Fred Achelam,Uganda,Right hand Bat,Bat,Wicketkeeper Batter,
Michael Bracewell,New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder,"A member of the Bracewell cricket dynasty, Michael made a late introduction to international cricket, at the age of 31, when he was handed his ODI cap in 2022, against Netherlands, more than ten years after he made his first-class and List A debuts. The innings that vaulted him to the front of the selection queue was a monstrous 141 off 65 balls, which took Wellington from a position of 43 for 5 to chasing down Central Districts' 227 with a ball remaining in a Super Smash T20 match in January that year."
Sadeera Samarawickrama,Sri Lanka,Right hand Bat,Bat,Wicketkeeper Batter,"In the longest format, Sadeera Samarawickrama is a dashing wicketkeeper-batsman who plays in the middle order. In limited-overs cricket, he has routinely set his teams off to fast starts as an opener. In any case, few school leavers of his vintage have made such a successful transition to the senior level. The national selectors have taken notice. "
Chris Jordan,Info,Right hand Bat,Right arm Fast medium,Bowler,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. "
Jofra Archer,Info,Right hand Bat,Right arm Fast,Bowler,
Moeen Ali,Info,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali, known fondly as ""the beard that's feared"" at New Road, started out as something of a batting prodigy but it was his offspin that got him his place in the England side after the retirement of Graeme Swann. Fittingly then, it was as an allrounder that he found success."
Matt Henry,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph."
Sagar Dhakal,Nepal,Right hand Bat,Slow Left arm Orthodox,Bowler,
Fayyaz Butt,Oman,Right hand Bat,Right arm Medium fast,Bowler,"A part of Pakistan's pace arsenal in the Under-19 World Cup in New Zealand, Fayyaz Butt compares his style of play to Brett Lee and, like many aspiring professional cricketers in Pakistan, wants to emulate Imran Khan.
Cricinfo Staff, January 2010. "
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"Offspinner Mujeeb ur Rahman has followed in the footsteps of his superstar compatriot Rashid Khan, mixing up offbreaks with legspin and ripping googlies and making a splash in T20 leagues around the world."
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,
Henry Ssenyondo,Uganda,Right hand Bat,Slow Left arm Orthodox,Bowler,
Adil Rashid,Info,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next ten years he took more than 300."
Craig Young,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"One of a number of players to emerge out of Ireland's robust Under-19 squads from the early 2010s, Craig Young became the ninth bowler to take a five-for on men's ODI debut when he demolished Scotland in Malahide in September 2014. It was a well-timed performance for Young, considering he had just lost his county contract with Sussex and parlayed that into a Cricket Ireland central contract. "
Abbas Afridi,Pakistan,Right hand Bat,Right arm Medium fast,Bowler,
Bilal Hassan,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Naseem Khushi,Oman,Right hand Bat,Bat,Wicketkeeper,
